"Category";"Topic";"URL";"Question 1";"Question 2";"Question 3";"Question 4";"Question 5";"Question 6";"Question 7";"Question 8";"Question 9";"Link history of prev results";"Status";"Template";"Comment"
"Culture";"film";"/content/categories/culture/film/events/cannes-film-festival.html";"Location";"Programme";"Tickets";"Red carpet";"Screenings";"Awards";"Streaming";"Highlights";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Culture";"film";"/content/categories/culture/film/events/marrakech-international-film-festival.html";"Location";"Programme";"Tickets";"Red carpet";"Screenings";"Awards";"Streaming";"Highlights";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Culture";"film";"/content/categories/culture/film/events/venice-film-festival.html";"Location";"Programme";"Tickets";"Red carpet";"Screenings";"Awards";"Streaming";"Highlights";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Culture";"food-drink";"/content/categories/culture/food-drink/events/oktoberfest-blumenau.html";"Location";"Weather";"Venue areas";"Tickets";"Opening hours";"Food / drink list";"Booking";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"food-drink";"/content/categories/culture/food-drink/events/oktoberfest.html";"Location";"Weather";"Venue areas";"Tickets";"Opening hours";"Food / drink list";"Booking";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"gaming";"/content/categories/culture/gaming/events/gamescom.html";"Location";"Tickets";"Programme";"Keynotes";"Exhibitors";"Livestream";"Product launches";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"music-festivals";"/content/categories/culture/music-festivals/events/coachella.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Stages";"Camping";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"music-festivals";"/content/categories/culture/music-festivals/events/tomorrowland.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Stages";"Camping";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"music-festivals";"/content/categories/culture/music-festivals/events/ultra-music-festival.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Stages";"Camping";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"music-festivals";"/content/categories/culture/music-festivals/events/white-sensation-amsterdam.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Stages";"Camping";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"music";"/content/categories/culture/music/events/buenos-aires-tango-festival.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Venue";"Highlights";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"music";"/content/categories/culture/music/events/lake-of-stars-festival.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Venue";"Highlights";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"music";"/content/categories/culture/music/events/oya-festival.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Venue";"Highlights";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/brazil-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/chile-independence-day-and-fiestas-patrias.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/fiji-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"national-day";"/content/categories/culture/national-day/events/oslo-constitution-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"pop-culture";"/content/categories/culture/pop-culture/events/comic-con-international.html";"Location";"Tickets";"Programme";"Guests";"Panels";"Merch";"Streaming";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"religion";"/content/categories/culture/religion/events/diwali.html";"Location";"Dates";"Rules";"Safety";"Travel";"Visa";"Packing";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"religion";"/content/categories/culture/religion/events/hajj.html";"Location";"Dates";"Rules";"Safety";"Travel";"Visa";"Packing";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"tech-events";"/content/categories/culture/tech-events/events/ces.html";"Location";"Tickets";"Programme";"Keynotes";"Exhibitors";"Livestream";"Product launches";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"tradition";"/content/categories/culture/tradition/events/day-of-the-dead.html";"Location";"Weather";"Programme";"Ceremony";"Route / venues";"Tickets";"Visitor rules";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"tradition";"/content/categories/culture/tradition/events/inti-raymi.html";"Location";"Weather";"Programme";"Ceremony";"Route / venues";"Tickets";"Visitor rules";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"tradition";"/content/categories/culture/tradition/events/new-years-eve-copacabana.html";"Location";"Weather";"Programme";"Ceremony";"Route / venues";"Tickets";"Visitor rules";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"tradition";"/content/categories/culture/tradition/events/seoul-lantern-festival.html";"Location";"Weather";"Programme";"Ceremony";"Route / venues";"Tickets";"Visitor rules";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"tradition";"/content/categories/culture/tradition/events/sydney-new-years-eve.html";"Location";"Weather";"Programme";"Ceremony";"Route / venues";"Tickets";"Visitor rules";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"tradition";"/content/categories/culture/tradition/events/yi-peng-and-loy-krathong.html";"Location";"Weather";"Programme";"Ceremony";"Route / venues";"Tickets";"Visitor rules";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"wildlife";"/content/categories/culture/wildlife/events/great-migration.html";"Location";"Season window";"Weather";"Best viewing";"Safety";"Conservation";"Guides";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"wildlife";"/content/categories/culture/wildlife/events/hermanus-whale-festival.html";"Location";"Season window";"Weather";"Best viewing";"Safety";"Conservation";"Guides";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"wildlife";"/content/categories/culture/wildlife/events/kwita-izina.html";"Location";"Season window";"Weather";"Best viewing";"Safety";"Conservation";"Guides";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"winter";"/content/categories/culture/winter/events/jul-i-vinterland.html";"Location";"Weather";"Programme";"Tickets";"Family activities";"Transport";"Packing";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Culture";"winter";"/content/categories/culture/winter/events/queenstown-winter-festival.html";"Location";"Weather";"Programme";"Tickets";"Family activities";"Transport";"Packing";"Highlights";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Music";"music-festivals";"/content/categories/music/music-festivals/events/festa-junina.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Stages";"Camping";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Music";"music-festivals";"/content/categories/music/music-festivals/events/glastonbury-festival.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Stages";"Camping";"Transport";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Music";"song-contests";"/content/categories/music/song-contests/events/eurovision-song-contest.html";"Location";"Participants";"Semi-final 1";"Semi-final 2";"Grand final";"Voting";"Winner";"Streaming";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Music";"world-music";"/content/categories/music/world-music/events/fes-festival-of-world-sacred-music.html";"Location";"Weather";"Line-up";"Schedule";"Tickets";"Venue";"Highlights";"";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
"Sport";"american-football";"/content/categories/sport/american-football/events/super-bowl.html";"Location";"Teams";"Schedule";"Final score";"Winner";"Halftime / ceremony";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"aussie-rules";"/content/categories/sport/aussie-rules/events/afl-grand-final.html";"Location";"Teams";"Schedule";"Final score";"Winner";"Halftime / ceremony";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"baseball";"/content/categories/sport/baseball/events/world-series.html";"Location";"Teams";"Schedule";"Final score";"Winner";"Halftime / ceremony";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"basketball";"/content/categories/sport/basketball/events/nba-finals.html";"Location";"Teams";"Schedule";"Final score";"Winner";"Halftime / ceremony";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"cricket";"/content/categories/sport/cricket/events/cricket-world-cup.html";"Location";"Weather";"Teams";"Fixtures";"Group table";"Semi-final";"Final";"Winner";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"cricket";"/content/categories/sport/cricket/events/icc-t20-world-cup.html";"Location";"Weather";"Teams";"Fixtures";"Group table";"Semi-final";"Final";"Winner";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"cricket";"/content/categories/sport/cricket/events/indian-premier-league-final.html";"Location";"Weather";"Teams";"Fixtures";"Group table";"Semi-final";"Final";"Winner";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"cycling";"/content/categories/sport/cycling/events/tour-de-france.html";"Location";"Weather";"Programme";"Tickets";"Participants";"Schedule";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/afc-asian-cup.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/africa-cup-of-nations.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/champions-league-final.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/copa-america.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/copa-libertadores-final.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/fifa-womens-world-cup.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/fifa-world-cup.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"football";"/content/categories/sport/football/events/uefa-european-championship.html";"Location";"Teams";"Fixtures";"Group table";"Knockout stage";"Final";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/abu-dhabi-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/british-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/canadian-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/las-vegas-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/mexico-city-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/monaco-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/qatar-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/sao-paulo-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/singapore-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"formula-1";"/content/categories/sport/formula-1/events/united-states-grand-prix.html";"Location";"Weather";"Practice";"Qualifying";"Sprint";"Race";"Circuit";"Standings";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"golf";"/content/categories/sport/golf/events/masters-tournament.html";"Location";"Weather";"Round 1";"Round 2";"Round 3";"Round 4";"";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"golf";"/content/categories/sport/golf/events/oslo-ladies-open.html";"Location";"Weather";"Round 1";"Round 2";"Round 3";"Round 4";"";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"golf";"/content/categories/sport/golf/events/pga-championship.html";"Location";"Weather";"Round 1";"Round 2";"Round 3";"Round 4";"";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"golf";"/content/categories/sport/golf/events/ryder-cup.html";"Location";"Weather";"Round 1";"Round 2";"Round 3";"Round 4";"";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"golf";"/content/categories/sport/golf/events/the-open-championship.html";"Location";"Weather";"Round 1";"Round 2";"Round 3";"Round 4";"";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"golf";"/content/categories/sport/golf/events/us-open-golf.html";"Location";"Weather";"Round 1";"Round 2";"Round 3";"Round 4";"";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"horse-racing";"/content/categories/sport/horse-racing/events/dubai-world-cup.html";"Location";"Weather";"Race time";"Field";"Odds";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"horse-racing";"/content/categories/sport/horse-racing/events/durban-july.html";"Location";"Weather";"Race time";"Field";"Odds";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"horse-racing";"/content/categories/sport/horse-racing/events/melbourne-cup.html";"Location";"Weather";"Race time";"Field";"Odds";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"ice-hockey";"/content/categories/sport/ice-hockey/events/iihf-world-championship.html";"Location";"Teams";"Series";"Game schedule";"Standings";"Winner";"Results";"";"";"YES";"OK_AS_IS";"IIHF Ice Hockey World Championship | OneSliders";"Left unchanged per request."
"Sport";"ice-hockey";"/content/categories/sport/ice-hockey/events/stanley-cup-final.html";"Location";"Teams";"Series";"Game schedule";"Standings";"Winner";"Results";"";"";"YES";"OK_AS_IS";"IIHF Ice Hockey World Championship | OneSliders";"Left unchanged per request."
"Sport";"marathon";"/content/categories/sport/marathon/events/berlin-marathon.html";"Location";"Weather";"Route";"Start time";"Elite field";"Road closures";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"marathon";"/content/categories/sport/marathon/events/boston-marathon.html";"Location";"Weather";"Route";"Start time";"Elite field";"Road closures";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"marathon";"/content/categories/sport/marathon/events/london-marathon.html";"Location";"Weather";"Route";"Start time";"Elite field";"Road closures";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"motogp";"/content/categories/sport/motogp/events/motogp-japan.html";"Location";"Weather";"Practice";"Qualifying";"Race";"Grid";"Winner";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"motorsport";"/content/categories/sport/motorsport/events/indianapolis-500.html";"Location";"Weather";"Practice";"Qualifying";"Race";"Class winners";"Result";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"motorsport";"/content/categories/sport/motorsport/events/le-mans-24-hours.html";"Location";"Weather";"Practice";"Qualifying";"Race";"Class winners";"Result";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"multi-sport";"/content/categories/sport/multi-sport/events/asian-games.html";"Location";"Weather";"Sports";"Venues";"Opening ceremony";"Medal table";"Closing ceremony";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"multi-sport";"/content/categories/sport/multi-sport/events/commonwealth-games.html";"Location";"Weather";"Sports";"Venues";"Opening ceremony";"Medal table";"Closing ceremony";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"multi-sport";"/content/categories/sport/multi-sport/events/summer-olympics.html";"Location";"Weather";"Sports";"Venues";"Opening ceremony";"Medal table";"Closing ceremony";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"multi-sport";"/content/categories/sport/multi-sport/events/winter-olympics.html";"Location";"Weather";"Sports";"Venues";"Opening ceremony";"Medal table";"Closing ceremony";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"rugby";"/content/categories/sport/rugby/events/bledisloe-cup.html";"Location";"Teams";"Fixtures";"Table";"Final";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"rugby";"/content/categories/sport/rugby/events/nrl-grand-final.html";"Location";"Teams";"Fixtures";"Table";"Final";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"rugby";"/content/categories/sport/rugby/events/rugby-world-cup.html";"Location";"Teams";"Fixtures";"Table";"Final";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"rugby";"/content/categories/sport/rugby/events/six-nations.html";"Location";"Teams";"Fixtures";"Table";"Final";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"rugby";"/content/categories/sport/rugby/events/state-of-origin.html";"Location";"Teams";"Fixtures";"Table";"Final";"Winner";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"running";"/content/categories/sport/running/events/cape-town-marathon.html";"Location";"Weather";"Route";"Start time";"Elite field";"Road closures";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"running";"/content/categories/sport/running/events/new-york-city-marathon.html";"Location";"Weather";"Route";"Start time";"Elite field";"Road closures";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"running";"/content/categories/sport/running/events/sydney-marathon.html";"Location";"Weather";"Route";"Start time";"Elite field";"Road closures";"Results";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"tennis";"/content/categories/sport/tennis/events/australian-open.html";"Location";"Weather";"Draw";"First round";"Quarter-finals";"Semi-finals";"Final";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"tennis";"/content/categories/sport/tennis/events/roland-garros.html";"Location";"Weather";"Draw";"First round";"Quarter-finals";"Semi-finals";"Final";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"tennis";"/content/categories/sport/tennis/events/us-open-tennis.html";"Location";"Weather";"Draw";"First round";"Quarter-finals";"Semi-finals";"Final";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Sport";"tennis";"/content/categories/sport/tennis/events/wimbledon.html";"Location";"Weather";"Draw";"First round";"Quarter-finals";"Semi-finals";"Final";"";"";"YES";"APPLIED";"IIHF Ice Hockey World Championship | OneSliders";"History template applied from CSV history flag."
"Culture";"national-day";"/content/categories/culture/national-day/events/albania-independence-day.html";"Location";"Date";"Public holiday";"Ceremony";"Parade";"Opening hours";"Transport";"Weather";"";"NO";"APPLIED";"Finland Independence Day | OneSliders";"Finland one-slider template applied; parts/stage tabs removed where present."
